Date,Affected pages
2026-05-08,0
2026-05-09,0
2026-05-10,0
2026-05-11,0
2026-05-12,1
2026-05-13,1
2026-05-14,1
2026-05-15,1
2026-05-16,2
2026-05-17,2
2026-05-18,2
2026-05-19,8
2026-05-20,8
2026-05-21,8
2026-05-22,8
2026-05-23,9
2026-05-24,9
2026-05-25,9
2026-05-26,8
2026-05-27,8
2026-05-28,8
2026-05-29,8
2026-05-30,8
2026-05-31,8
2026-06-01,8
2026-06-02,7
2026-06-03,7
2026-06-04,7
2026-06-05,7
2026-06-06,6
2026-06-07,6
2026-06-08,6
2026-06-09,5
2026-06-10,5
2026-06-11,5
2026-06-12,5
2026-06-13,2
2026-06-14,2
2026-06-15,2
2026-06-16,2
2026-06-17,2
2026-06-18,2
2026-06-19,2
2026-06-20,2
2026-06-21,2
2026-06-22,2
2026-06-23,2
2026-06-24,2
2026-06-25,2
2026-06-26,2
2026-06-27,2
2026-06-28,2
2026-06-29,2
2026-06-30,2
2026-07-01,20
2026-07-02,20
2026-07-03,20
2026-07-04,20
2026-07-05,20
2026-07-06,20
2026-07-07,20
2026-07-08,20
2026-07-09,20
2026-07-10,20
2026-07-11,1852
2026-07-12,1852
2026-07-13,1852
2026-07-14,1852
2026-07-15,1852
2026-07-16,1852
2026-07-17,1852
2026-07-18,1852
2026-07-19,1852
2026-07-20,1852
2026-07-21,1852
2026-07-22,1852
2026-07-23,1852
2026-07-24,1852
