web_scraper_order,web_scraper_start_url,title,image,image2
"1782267611-1","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Factory Direct Supply 0.5-2mm Tile Leveling System Clips Accessories Positioner Tile Spacer Base Plastic Leveling Spacer Clips","https://s.alicdn.com/@sc04/kf/Hfb177df4da3f4947998dfc36749e8886h/Factory-Direct-Supply-0-5-2mm-Tile.jpg_480x480.jpg?hasNWGrade=1",""
"1782267611-2","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Precision Machined Large Format Durable Tile Setting Aids Tile Plier Labor Saving Tile Leveling System for Tile Clip Adjustment","https://s.alicdn.com/@sc04/kf/Hf5fa4d50687b479a9424d172aead6afeZ/Precision-Machined-Large-Format-Durable-Tile-Setting.png_480x480.jpg?hasNWGrade=1",""
"1782267611-3","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","1mm 1.5mm 2mm 2.5mm 3mm 50pcs Star Multi-Size Tile Spacer Construction Tools Tile Level Clip System Floor Tile Accessories","https://s.alicdn.com/@sc04/kf/Ha2e76f7d970e4e71b105b2a6a97496692/1mm-1-5mm-2mm-2-5mm-3mm.png_480x480.jpg?hasNWGrade=1",""
"1782267611-4","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","50 Pieces T-Shape Tile Locator Height Regulator Spacers Porcelain Reusable Anti-Lippage Tile Leveling System","https://s.alicdn.com/@sc04/kf/Hc8afcd255bfb403f8f28069811646161V/50-Pieces-T-Shape-Tile-Locator-Height.jpg_480x480.jpg?hasNWGrade=1",""
"1782267611-5","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","1.5mm Floor Wall Tile Leveling System Tile Spacer Clips Wedges Tile Leveling System for Ceramic Tile and Stone Installation","https://s.alicdn.com/@sc04/kf/He1616294bcf54bd6a169e5d4accf77aeo/1-5mm-Floor-Wall-Tile-Leveling-System.jpg_480x480.jpg?hasNWGrade=1",""
"1782267611-6","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Professional Plastic PVC PE Floor Wall Tile Level Clips Spacers Flat Leveling System Spacer Accessories Tile Leveling System","","https://s.alicdn.com/@sc04/kf/H829e3304a4a24e97bd06496eda3dd0a03/Professional-Plastic-PVC-PE-Floor-Wall-Tile.jpg?hasNWGrade=1"
"1782267611-7","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Professional 1.5mm Gap Tile Leveling System Clips and Wedges Ceramic Tile Spacers Leveling System Wedges Tile Leveling System","","https://s.alicdn.com/@sc04/kf/H4664d9dff6b147ba97b2ba160a6e6e15S/Professional-1-5mm-Gap-Tile-Leveling-System.jpg?hasNWGrade=1"
"1782267611-8","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Reusable Modern Leveler Press-type Ceramic Tile Leveling Kit Floor Leveling Tools Accessories Spacers Clips Tile Leveling System","https://s.alicdn.com/@sc04/kf/Ha131063fe60849d791788eb715d056d9d/Reusable-Modern-Leveler-Press-type-Ceramic-Tile.png_480x480.jpg?hasNWGrade=1",""
"1782267611-9","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","1mm 1.5mm 2mm 2.5mm 3mm Modern PVC Colored and Perforated Tile Leveling Clips and Wedges System Accessory Tile Leveling System","","https://s.alicdn.com/@sc04/kf/Hffe3d43ff16548c6966c6254846a07a22/1mm-1-5mm-2mm-2-5mm-3mm.jpg?hasNWGrade=1"
"1782267611-10","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Tile Leveling System Clips and Wedges Modern Design Thin Spacer Clips PE PVC and Ceramic Floor Accessories Tile Leveling System","","https://s.alicdn.com/@sc04/kf/H4a4e9af5f27843bc9eaee81194cdc54eW/Tile-Leveling-System-Clips-and-Wedges-Modern.jpg?hasNWGrade=1"
"1782267611-11","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Wholesale Plastic Tile Spacer Tile Leveling System Clips and Wedges Plier Tile Leveler Systems Spacers Accessories","","https://s.alicdn.com/@sc04/kf/Ha9482c280f2c4e9ebeae8e4ccb4447d3p/Wholesale-Plastic-Tile-Spacer-Tile-Leveling-System.jpg?hasNWGrade=1"
"1782267611-12","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Modern Design Automatic Clip Reusable PVC Plastic Material Leveling System Modern Design Ceramic Tiles Spacer Clips","","https://s.alicdn.com/@sc04/kf/Hd6e9afed99584000abea6403733c126dG/Modern-Design-Automatic-Clip-Reusable-PVC-Plastic.jpg?hasNWGrade=1"
"1782267611-13","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Reusable Professional Ceramic Leveling System Tile Leveling System Wedges Tile Leveling System Tools for Building Walls Floors","","https://s.alicdn.com/@sc04/kf/H9cf84bfb4cf14739a9a01d3db87ad4c7q/Reusable-Professional-Ceramic-Leveling-System-Tile-Leveling.jpg?hasNWGrade=1"
"1782267611-14","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","1mm 1.5mm 2mm 2.5mm 3mm Plastic Tile Leveling System Clips and Wedges Ceramic Tile Leveling Tools Tile Leveling System Spacer","","https://s.alicdn.com/@sc04/kf/H6b747f8bb3814efc92e3266413cc55377/1mm-1-5mm-2mm-2-5mm-3mm.jpg?hasNWGrade=1"
"1782267611-15","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","Tile Leveling System Recyclable T Type Plastic Lock Tile Spacers Accessories Clips Porcelain Floor Leveling Tools for Ceramic","https://s.alicdn.com/@sc04/kf/H35faa4fcace84fbe9cf923c2f0588f13a/Tile-Leveling-System-Recyclable-T-Type-Plastic.png_480x480.jpg?hasNWGrade=1",""
"1782267611-16","https://yomin.en.alibaba.com/productgrouplist-960489866/Tile_Leveling_System.html","High Quality Tile Leveling System Tile Wedges Floor Wall Tile Leveler Spacers Flat Leveling System Tools","","https://s.alicdn.com/@sc04/kf/Hd97b7196bf754d539f20e61ff96a173aK/High-Quality-Tile-Leveling-System-Tile-Wedges.jpg?hasNWGrade=1"
